lyhenne;tieteellinen;suomalainen;ruotsalainen
PASHIS;Passer hispaniolensis;pensasvarpunen;spansk sparv
PASMON;Passer montanus;pikkuvarpunen;pilfink
FRISP;Fringilla sp;peippolaji;Fringilla (släktet)
FRICOE;Fringilla coelebs;peippo;bofink
FRIMON;Fringilla montifringilla;järripeippo;bergfink
SERSER;Serinus serinus;keltahemppo;gulhämpling
SERCAN;Serinus canaria;kanarianhemppo;kanariefågel
SERCIT;Serinus citrinella;sitruunahemppo;citronsiska
CARSP;Carduelis sp;tiklilaji;Carduelis (släktet)
CARCHL;Carduelis chloris;viherpeippo;grönfink
CARCAR;Carduelis carduelis;tikli;steglits
CARSPI;Carduelis spinus;vihervarpunen;grönsiska
CARCAN;Carduelis cannabina;hemppo;hämpling
CARRIS;Carduelis flavirostris;vuorihemppo;vinterhämpling
CARMEA;Carduelis flammea;urpiainen;gråsiska
CARMEAFLA;Carduelis flammea flammea;urpiainen (alalaji flammea);gråsiska (rasen flammea)
CARMEACAB;Carduelis flammea cabaret;ruskourpiainen;gråsiska (rasen cabaret)
CARMEA/CARHOR;Carduelis flammea / Carduelis hornemanni;urpiainen / tundraurpiainen;gråsiska / snösiska
CARHOR;Carduelis hornemanni;tundraurpiainen;snösiska
LOXSP;Loxia sp;käpylintulaji;Loxia (släktet)
LOXLEU;Loxia leucoptera;kirjosiipikäpylintu;bändelkorsnäbb
LOXLEU/LOXCUR;Loxia leucoptera / Loxia curvirostra;kirjosiipikäpylintu / pikkukäpylintu;bändelkorsnäbb / mindre korsnäbb
LOXCUR;Loxia curvirostra;pikkukäpylintu;mindre korsnäbb
LOXCUR/LOXPYT;Loxia curvirostra / Loxia pytyopsittacus;pikkukäpylintu / isokäpylintu;mindre korsnäbb / större korsnäbb
LOXPYT;Loxia pytyopsittacus;isokäpylintu;större korsnäbb
BUCANSP;Bucanetes sp;aavikkotulkkulaji;Bucanetes (släktet)
BUCGIT;Bucanetes githagineus;aavikkotulkku;ökentrumpetare
CARPOSP;Carpodacus sp;punavarpuslaji;Carpodacus (släktet)
CARERY;Carpodacus erythrinus;punavarpunen;rosenfink
PINENU;Pinicola enucleator;taviokuurna;tallbit
URASIB;Uragus sibiricus;pyrstötulkku;långstjärtad rosenfink
PYRPYR;Pyrrhula pyrrhula;punatulkku;domherre
COCCOC;Coccothraustes coccothraustes;nokkavarpunen;stenknäck
EOPPER;Eophona personata;japaninnokkavarpunen;större maskstenknäck
DENSTR;Dendroica striata;viirukerttuli;vitkindad skogssångare
PASILI;Passerella iliaca;kettusirkku;rävsparv
ZONALB;Zonotrichia albicollis;valkokurkkusirkku;vitstrupig sparv
CALLAP;Calcarius lapponicus;lapinsirkku;lappsparv
PLENIV;Plectrophenax nivalis;pulmunen;snösparv
EMBSP;Emberiza sp;sirkkulaji;Emberiza (släktet)
EMBSPO;Emberiza spodocephala;harmaapääsirkku;gråhuvad sparv
EMBLEU;Emberiza leucocephalos;mäntysirkku;tallsparv
EMBLEUXEMBCIT;Emberiza leucocephalos X Emberiza citrinella;mäntysirkku X keltasirkku;tallsparv X gulsparv
EMBCIT;Emberiza citrinella;keltasirkku;gulsparv
EMBBUC;Emberiza buchanani;kivikkosirkku;bergortolansparv
EMBHOR;Emberiza hortulana;peltosirkku;ortolansparv
EMBCAE;Emberiza caesia;ruostekurkkusirkku;rostsparv
EMBRUS;Emberiza rustica;pohjansirkku;videsparv
EMBRUS/EMBPUS/EMBAUR;Emberiza rustica / Emberiza pusilla / Emberiza aureola;pohjansirkku / pikkusirkku / kultasirkku;videsparv / dvärgsparv / gyllensparv
EMBPUS;Emberiza pusilla;pikkusirkku;dvärgsparv
EMBRUT;Emberiza rutila;kastanjasirkku;rödbrun sparv
EMBAUR;Emberiza aureola;kultasirkku;gyllensparv
EMBSCH;Emberiza schoeniclus;pajusirkku;sävsparv
EMBBRU;Emberiza bruniceps;ruskopääsirkku;stäppsparv
EMBBRU/EMBMEL;Emberiza bruniceps / Emberiza melanocephala;ruskopääsirkku / mustapääsirkku;stäppsparv / svarthuvad sparv
EMBMEL;Emberiza melanocephala;mustapääsirkku;svarthuvad sparv
EMBCAL;Emberiza calandra;harmaasirkku;kornsparv
EMBCIO;Emberiza cioides;niittysirkku;ängssparv
EMBELE;Emberiza elegans;kultatöyhtösirkku;praktsparv
PASCYA;Passerina cyanea;indigokardinaali;indigofink
PASAMO;Passerina amoena;turkoosikardinaali;lazulifink
PASCIR;Passerina ciris;sateenkaarikardinaali;påvefink
ANS/BRA/PHA;Anserini / Phalacrocorax;hanhi / merimetso;gås / skarv
ANS/BRA/V;Anserini / Anatinae;hanhi / vesilintu;gås / sjöfågel
IL;magnus Aves;iso lintu;stor fågel
V/K;V / K (vesilintu / kahlaaja);vesilintu / kahlaaja;sjöfågel / vadare
BOM/STU;Bombycilla / Sturnus;tilhi / kottarainen;sidensvans / stare
PL;PL (pikkulintu);pikkulintu;ob. småfågel
AVIS;Avis;lintu;ob. fågel
IPL;IPL (iso pikkulintu);iso pikkulintu;stor småfågel
KPL;KPL (keskikokoinen pikkulintu);keskikokoinen pikkulintu;medelstor småfågel
PPL;PPL (pieni pikkulintu);pieni pikkulintu;liten småfågel
PPL/KPL;PPL / KPL (pieni / keskikokoinen pikkulintu);pieni / keskikokoinen pikkulintu;liten / medelstor småfågel
KPL/IPL;KPL / IPL (keskikokoinen / iso pikkulintu);keskikokoinen / iso pikkulintu;medelstor / stor småfågel
XX;hybrida;risteymä;ob. hybrid
