lyhenne;tieteellinen;suomalainen;ruotsalainen
MOTFLAIMA;Motacilla flava flavissima;keltavästäräkki (alalaji flavissima);gulärla (rasen flavissima)
MOTFLATHU;Motacilla flava thunbergi;keltavästäräkki (alalaji thunbergi);gulärla (rasen thunbergi)
MOTFLABEE;Motacilla flava beema;keltavästäräkki (alalaji beema);gulärla (rasen beema)
MOTFLALUT;Motacilla flava lutea;keltavästäräkki (alalaji lutea);gulärla (rasen lutea)
MOTFLAFEL;Motacilla flava feldegg;keltavästäräkki (alalaji feldegg);gulärla (rasen feldegg)
MOTFLA/MOTCIT;Motacilla flava / Motacilla citreola;keltavästäräkki / sitruunavästäräkki;gulärla / citronärla
MOTFLAIMA/MOTFLALUT;Motacilla flava flavissima / Motacilla flava lutea;keltavästäräkki (alalaji flavissima) / keltavästäräkki (alalaji lutea);gulärla (rasen flavissima) / gulärla (rasen lutea)
MOTFLAXMOTCIT;Motacilla flava X Motacilla citreola;keltavästäräkki X sitruunavästäräkki;gulärla X citronärla
MOTCIT;Motacilla citreola;sitruunavästäräkki;citronärla
MOTCIN;Motacilla cinerea;virtavästäräkki;forsärla
MOTALB;Motacilla alba;västäräkki;sädesärla
MOTALBYAR;Motacilla alba yarrellii;englanninvästäräkki;sädesärla (rasen yarrellii)
MOTALBALB;Motacilla alba alba;västäräkki (alalaji alba);sädesärla (rasen alba)
MOTALB x MOTALBYAR;Motacilla alba x Motacilla alba yarrellii;västäräkki x englanninvästäräkki;sädesärla (rasen alba) x sädesärla (rasen yarrellii)
MOTALBLEU;Motacilla alba leucopsis;västäräkki (alalaji leucopsis);sädesärla (rasen leucopsis)
XMOT;hybrida Motacilla;västäräkkiristeymä;ärlehybrid
BOMGAR;Bombycilla garrulus;tilhi;sidensvans
CINCIN;Cinclus cinclus;koskikara;strömstare
TROTRO;Troglodytes troglodytes;peukaloinen;gärdsmyg
PRUSP;Prunella sp;rautiaislaji;Prunella (släktet)
PRUMOD;Prunella modularis;rautiainen;järnsparv
PRUMON;Prunella montanella;taigarautiainen;sibirisk järnsparv
PRUATR;Prunella atrogularis;mustakurkkurautiainen;svartstrupig järnsparv
PRUCOL;Prunella collaris;alppirautiainen;alpjärnsparv
CERGAL;Cercotrichas galactotes;ruostepyrstö;trädnäktergal
ERIRUB;Erithacus rubecula;punarinta;rödhake
LUSSP;Luscinia sp;satakielilaji;Luscinia (släktet)
LUSLUS;Luscinia luscinia;satakieli;näktergal
LUSLUS/LUSMEG;Luscinia luscinia / Luscinia megarhynchos;satakieli / etelänsatakieli;näktergal / sydnäktergal
LUSMEG;Luscinia megarhynchos;etelänsatakieli;sydnäktergal
CALCAL;Calliope calliope;rubiinisatakieli;rubinnäktergal
LUSSVE;Luscinia svecica;sinirinta;blåhake
LUSSVECYA;Luscinia svecica cyanecula;valkotäpläsinirinta;blåhake (rasen cyanecula)
LUSSVESVE;Luscinia svecica svecica;sinirinta (alalaji svecica);blåhake (rasen svecica)
TARCYA;Tarsiger cyanurus;sinipyrstö;blåstjärt
PHOSP;Phoenicurus sp;leppälintulaji;Phoenicurus (släktet)
PHOOCH;Phoenicurus ochruros;mustaleppälintu;svart rödstjärt
PHOOCH/PHOPHO;Phoenicurus ochruros / Phoenicurus phoenicurus;mustaleppälintu / leppälintu;svart rödstjärt / rödstjärt
PHOOCHXPHOPHO;Phoenicurus ochruros X Phoenicurus phoenicurus;mustaleppälintu X leppälintu;svart rödstjärt X rödstjärt
PHOPHO;Phoenicurus phoenicurus;leppälintu;rödstjärt
PHOPHOPHO;Phoenicurus phoenicurus phoenicurus;leppälintu (alalaji phoenicurus);rödstjärt (rasen phoenicurus)
PHOPHOSAM;Phoenicurus phoenicurus samamisicus;leppälintu (alalaji samamisicus);rödstjärt (rasen samamisicus)
PHORUS;Phoenicurus erythrogastrus;vuorileppälintu;bergrödstjärt
SAXTRA;Saxicola rubetra;pensastasku;buskskvätta
SAXMAU;Saxicola maurus;sepeltasku;vitgumpad buskskvätta
SAXMAUMAU;Saxicola maurus maurus;sepeltasku (alalaji maurus);vitgumpad buskskvätta (rasen maurus)
SAXMAUSTE;Saxicola maurus stejnegeri;sepeltasku (alalaji stejnegeri);vitgumpad buskskvätta (rasen stejnegeri)
SAXMAUVAR;Saxicola maurus variegatus;sepeltasku (alalaji variegatus);vitgumpad buskskvätta (rasen variegatus)
SAXOLA;Saxicola rubicola;mustapäätasku;svarthakad buskskvätta
SAXOLARUB;Saxicola rubicola rubicola;mustapäätasku (alalaji rubicola);svarthakad buskskvätta (rasen rubicola)
SAXOLAHIB;Saxicola rubicola hibernans;mustapäätasku (alalaji hibernans);svarthakad buskskvätta (rasen hibernans)
SAXMAU/SAXOLA;Saxicola maurus / Saxicola rubicola;sepeltasku / mustapäätasku;svarthakad buskskvätta / vitgumpad buskskvätta
SAXCAP;Saxicola caprata;nokitasku;svart buskskvätta
OENSP;Oenanthe sp;kivitaskulaji;Oenanthe (släktet)
OENISA;Oenanthe isabellina;arotasku;isabellastenskvätta
OENOEN;Oenanthe oenanthe;kivitasku;stenskvätta
OENPLE;Oenanthe pleschanka;nunnatasku;nunnestenskvätta
OENPLE/OENHIS;Oenanthe pleschanka / Oenanthe hispanica;nunnatasku / rusotasku;nunnestenskvätta / medelhavsstenskvätta
OENHIS;Oenanthe hispanica;rusotasku;medelhavsstenskvätta
OENHISHIS;Oenanthe hispanica hispanica;rusotasku (alalaji hispanica);medelhavsstenskvätta (rasen hispanica)
OENHISMEL;Oenanthe hispanica melanoleuca;rusotasku (alalaji melanoleuca);medelhavsstenskvätta (rasen melanoleuca)
OENDES;Oenanthe deserti;aavikkotasku;ökenstenskvätta
MONSP;Monticola sp;kivikkorastaslaji;Monticola (släktet)
MONSAX;Monticola saxatilis;kivikkorastas;stentrast
MONSOL;Monticola solitarius;sinirastas;blåtrast
ZOODAU;Zoothera dauma;kirjorastas;guldtrast
CATHASP;Catharus sp;amerikanrastaslaji;Catharus (släktet)
CATUST;Catharus ustulatus;korpirastas;beigekindad skogstrast
TURSP;Turdus sp;Turdus (suku);Turdus (släktet)
TURTOR;Turdus torquatus;sepelrastas;ringtrast
TURMER;Turdus merula;mustarastas;koltrast
TUROBS;Turdus obscurus;harmaakurkkurastas;gråhalsad trast
TURNAU;Turdus naumanni;ruosterastas;rödtrast
TUREUN;Turdus eunomus;ruostesiipirastas;bruntrast
TURNAU/TUREUN;Turdus naumanni / Turdus eunomus;ruosterastas / ruostesiipirastas;rödtrast / bruntrast
TURATR;Turdus atrogularis;mustakaularastas;svarthalsad trast
TURRUF;Turdus ruficollis;punakaularastas;rödhalsad trast
TURATR/TURRUF;Turdus ruficollis / Turdus atrogularis;mustakaularastas / punakaularastas  ;svarthalsad trast / rödhalsad trast 
TURPIL;Turdus pilaris;räkättirastas;björktrast
TURPHI;Turdus philomelos;laulurastas;taltrast
TURILI;Turdus iliacus;punakylkirastas;rödvingetrast
PTUR;parvus Turdus;pieni rastas;liten trast
TURVIS;Turdus viscivorus;kulorastas;dubbeltrast
ITUR;magnus Turdus;iso rastas;stor trast
LOCSP;Locustella sp;sirkkalintulaji;Locustella (släktet)
LOCCER;Locustella certhiola;sarasirkkalintu;starrsångare
LOCLAN;Locustella lanceolata;viirusirkkalintu;träsksångare
LOCLAN/LOCNAE;Locustella lanceolata / Locustella naevia;viirusirkkalintu / pensassirkkalintu;träsksångare / gräshoppsångare
LOCNAE;Locustella naevia;pensassirkkalintu;gräshoppsångare
LOCFLU;Locustella fluviatilis;viitasirkkalintu;flodsångare
LOCLUS;Locustella luscinioides;ruokosirkkalintu;vassångare
ACRSP;Acrocephalus sp;kerttuslaji;Acrocephalus (släktet)
IDUAED;Iduna aedon;paksunokkakerttunen;tjocknäbbad sångare
ACROLA;Acrocephalus paludicola;sarakerttunen;vattensångare
ACRSCH;Acrocephalus schoenobaenus;ruokokerttunen;sävsångare
ACRSCI;Acrocephalus scirpaceus;rytikerttunen;rörsångare
ACRSCIFUS;Acrocephalus scirpaceus fuscus;rytikerttunen (alalaji fuscus);rörsångare (rasen fuscus)
ACRSCI/ACRRIS/ACRDUM;Acrocephalus scirpaceus / Acrocephalus palustris / Acrocephalus dumetorum;rytikerttunen / luhtakerttunen / viitakerttunen;rörsångare / kärrsångare / busksångare
ACRSCI/ACRRIS;Acrocephalus scirpaceus / Acrocephalus palustris;rytikerttunen / luhtakerttunen;rörsångare / kärrsångare
ACRRIS;Acrocephalus palustris;luhtakerttunen;kärrsångare
ACRRIS/ACRDUM;Acrocephalus palustris / Acrocephalus dumetorum;luhtakerttunen / viitakerttunen;kärrsångare / busksångare
ACRDUM;Acrocephalus dumetorum;viitakerttunen;busksångare
ACRAGR;Acrocephalus agricola;kenttäkerttunen;fältsångare
ACRARU;Acrocephalus arundinaceus;rastaskerttunen;trastsångare
HIPSP;Hippolais sp;kultarintalaji;Hippolais (släktet)
IDUPAL;Iduna pallida;vaaleakultarinta;eksångare
IDUPALPAL;Iduna pallida pallida;vaaleakultarinta (alalaji pallida);eksångare (rasen pallida)
IDUPALELA;Iduna pallida elaeica;vaaleakultarinta (alalaji elaeica);eksångare (rasen elaeica)
IDUPAL/IDUCAL;Iduna pallida / Iduna caligata;vaaleakultarinta / pikkukultarinta;eksångare / stäppsångare
IDUCAL;Iduna caligata;pikkukultarinta;stäppsångare
IDURAM;Iduna rama;aavikkokultarinta;saxaulsångare
IDUCAL/IDURAM;Iduna caligata / Iduna rama;pikkukultarinta / aavikkokultarinta;stäppsångare / saxaulsångare
HIPICT;Hippolais icterina;kultarinta;härmsångare
SYLSP;Sylvia sp;kerttulaji;Sylvia (släktet)
SYLATR;Sylvia atricapilla;mustapääkerttu;svarthätta
SYLBOR;Sylvia borin;lehtokerttu;trädgårdssångare
SYLNIS;Sylvia nisoria;kirjokerttu;höksångare
SYLCUR;Sylvia curruca;hernekerttu;ärtsångare
SYLCOM;Sylvia communis;pensaskerttu;törnsångare
SYLNAN;Sylvia nana;kääpiökerttu;ökensångare
SYLUND;Sylvia undata;ruskokerttu;provencesångare
SYLCAN;Sylvia cantillans;rusorintakerttu;rödstrupig sångare
SYLMEL;Sylvia melanocephala;samettipääkerttu;sammetshätta
SYLRUP;Sylvia ruppeli;mustakurkkukerttu;svarthakad sångare
PHYSP;Phylloscopus sp;uunilintulaji;Phylloscopus (släktet)
PHYCOR;Phylloscopus coronatus;amurinuunilintu;östlig kronsångare
PHYNIT;Phylloscopus nitidus;kaukasianuunilintu;kaukasisk lundsångare
PHYPLU;Phylloscopus plumbeitarsus;burjatianuunilintu;östlig lundsångare
PHYDES;Phylloscopus trochiloides;idänuunilintu;lundsångare
PHYDESVIR;Phylloscopus trochiloides viridanus;idänuunilintu (alalaji viridanus);lundsångare (rasen viridanus)
PHYBOR;Phylloscopus borealis;lapinuunilintu;nordsångare
PHYPRO;Phylloscopus proregulus;hippiäisuunilintu;kungsfågelsångare
PHYPRO/PHYINO;Phylloscopus proregulus / Phylloscopus inornatus;hippiäisuunilintu / taigauunilintu;kungsfågelsångare / taigasångare
PHYINO;Phylloscopus inornatus;taigauunilintu;taigasångare
PHYINO/PHYHUM;Phylloscopus inornatus / Phylloscopus humei;taigauunilintu / kashmirinuunilintu;taigasångare / bergstaigasångare
PHYHUM;Phylloscopus humei;kashmirinuunilintu;bergstaigasångare
PHYSCH;Phylloscopus schwarzi;siperianuunilintu;videsångare
PHYSCH/PHYFUS;Phylloscopus schwarzi / Phylloscopus fuscatus;siperianuunilintu / ruskouunilintu;videsångare / brunsångare
PHYFUS;Phylloscopus fuscatus;ruskouunilintu;brunsångare
PHYBON;Phylloscopus bonelli;vuoriuunilintu;bergsångare
PHYBON/PHYORI;Phylloscopus bonelli / Phylloscopus orientalis;vuoriuunilintu / balkaninuunilintu;bergsångare / balkansångare
PHYORI;Phylloscopus orientalis;balkaninuunilintu;balkansångare
PHYSIB;Phylloscopus sibilatrix;sirittäjä;grönsångare
PHYIBE;Phylloscopus ibericus;iberiantiltaltti;iberisk gransångare
PHYCOL;Phylloscopus collybita;tiltaltti;gransångare
